STEM match for unaligned p120GAP( :: p120GAP :: bio.bmtr_0004.4 cjconsensus
STEM match for unaligned Supplementary :: supplement-01 :: bio.bmtr_0004.8 cjconsensus
STEM match for unaligned linkers :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linkers :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linkers :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linkers :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned respectively :: respond-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned responsiveness :: respond-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.9 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0004.11 cjconsensus
STEM match for unaligned reconstitution :: reconstitute-01 :: bio.bmtr_0004.12 cjconsensus
STEM match for unaligned and :: and :: bio.bmtr_0004.13 cjconsensus
STEM match for unaligned Discussion/Conclusion :: discuss-01 :: bio.bmtr_0004.16 cjconsensus
STEM match for unaligned ligation :: ligate-01 :: bio.bmtr_0004.20 cjconsensus
STEM match for unaligned Interestingly :: interest-01 :: bio.bmtr_0005.7 cjconsensus
STEM match for unaligned Interestingly :: interest-01 :: bio.bmtr_0005.7 cjconsensus
STEM match for unaligned analysed :: analyze-01 :: bio.bmtr_0005.15 cjconsensus
STEM match for unaligned linker :: link-01 :: bio.bmtr_0005.16 cjconsensus
STEM match for unaligned and :: and :: bio.bmtr_0005.16 cjconsensus
STEM match for unaligned Discussion/Conclusion :: discuss-01 :: bio.bmtr_0005.18 cjconsensus
STEM match for unaligned and :: and :: bio.bmtr_0005.22 cjconsensus
