STEM match for unaligned Peacetime :: peace :: DF-212-191678-309_0211.2 cjconsensus
STEM match for unaligned sick :: sicken-01 :: DF-212-191678-309_0211.7 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.8 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.8 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.8 cjconsensus
STEM match for unaligned triggerman :: trigger-01 :: DF-212-191678-309_0211.10 cjconsensus
STEM match for unaligned occupiers :: occupy-01 :: DF-212-191678-309_0211.10 cjconsensus
STEM match for unaligned occupiers :: occupy-01 :: DF-212-191678-309_0211.10 cjconsensus
STEM match for unaligned occupiers :: occupy-01 :: DF-212-191678-309_0211.10 cjconsensus
STEM match for unaligned occupiers :: occupy-01 :: DF-212-191678-309_0211.10 cjconsensus
STEM match for unaligned Chem :: chemistry :: DF-212-191678-309_0211.12 cjconsensus
STEM match for unaligned teachers :: teach-01 :: DF-212-191678-309_0211.12 cjconsensus
STEM match for unaligned daisycutters :: Daisy :: DF-212-191678-309_0211.13 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.15 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.16 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.16 cjconsensus
STEM match for unaligned Merkavas :: Merkava :: DF-212-191678-309_0211.17 cjconsensus
STEM match for unaligned homemade :: home :: DF-212-191678-309_0211.18 cjconsensus
STEM match for unaligned detonator :: detonate-01 :: DF-212-191678-309_0211.23 cjconsensus
STEM match for unaligned And :: and :: DF-212-191678-309_0211.23 cjconsensus
STEM match for unaligned unharmed :: harm-01 :: DF-212-191678-309_0211.25 cjconsensus
STEM match for unaligned bombmakers :: bomb :: DF-212-191678-309_0211.26 cjconsensus
STEM match for unaligned bombmakers :: bomb :: DF-212-191678-309_0211.26 cjconsensus
STEM match for unaligned hatches :: hatch :: DF-212-191678-309_0211.30 cjconsensus
STEM match for unaligned superheated :: super :: DF-212-191678-309_0211.32 cjconsensus
STEM match for unaligned tinkerers :: tinker-01 :: DF-212-191678-309_0211.34 cjconsensus
STEM match for unaligned countermeasures :: counter-01 :: DF-212-191678-309_0211.35 cjconsensus
STEM match for unaligned countermeasures :: country :: DF-212-191678-309_0211.35 cjconsensus
STEM match for unaligned opener :: open-01 :: DF-212-191678-309_0211.35 cjconsensus
STEM match for unaligned technical :: technology :: DF-212-191678-309_0211.38 cjconsensus
STEM match for unaligned technical :: technique :: DF-212-191678-309_0211.38 cjconsensus
STEM match for unaligned technical :: technique :: DF-212-191678-309_0211.38 cjconsensus
STEM match for unaligned Ancients :: ancient :: DF-212-191678-309_0211.39 cjconsensus
STEM match for unaligned Kurds :: Kurdistan :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Kurds :: Kurdistan :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Turks :: Turkey :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned Armenians :: Armenia :: DF-212-191678-309_0211.40 cjconsensus
STEM match for unaligned genocided :: genocide-01 :: DF-212-191678-309_0211.41 cjconsensus
STEM match for unaligned genocided :: genocide-01 :: DF-212-191678-309_0211.41 cjconsensus
STEM match for unaligned genocided :: genocide-01 :: DF-212-191678-309_0211.41 cjconsensus
STEM match for unaligned wipeout :: wipe-out-02 :: DF-212-191678-309_0211.42 cjconsensus
STEM match for unaligned Iraqis :: Iraq :: DF-212-191678-309_0211.50 cjconsensus
STEM match for unaligned Iraqis :: Iraq :: DF-212-191678-309_0211.50 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.54 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.54 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.54 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.54 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.58 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.58 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.58 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.58 cjconsensus
STEM match for unaligned and :: and :: DF-212-191678-309_0211.58 cjconsensus
STEM match for unaligned Bottomline :: bottom :: DF-212-191678-309_0211.59 cjconsensus
STEM match for unaligned faulty :: fault-02 :: DF-212-191678-309_0211.59 cjconsensus
