STEM match for unaligned Tran :: Tran :: PROXY_AFP_ENG_20030701_0214.6 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20030701_0214.9 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20030701_0214.9 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20030701_0214.9 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20030701_0214.9 cjconsensus
STEM match for unaligned unmanos :: Unmano :: PROXY_AFP_ENG_20030701_0214.11 cjconsensus
STEM match for unaligned unmanos :: Unmano :: PROXY_AFP_ENG_20030701_0214.11 cjconsensus
STEM match for unaligned United :: Unites :: PROXY_AFP_ENG_20030703_0447.18 cjconsensus
STEM match for unaligned United :: United :: PROXY_AFP_ENG_20030703_0447.18 cjconsensus
STEM match for unaligned United :: United :: PROXY_AFP_ENG_20030703_0447.18 cjconsensus
STEM match for unaligned United :: United :: PROXY_AFP_ENG_20030703_0447.18 cjconsensus
STEM match for unaligned part :: partake-01 :: PROXY_AFP_ENG_20030714_0701.4 cjconsensus
STEM match for unaligned North :: North :: PROXY_AFP_ENG_20030714_0701.5 cjconsensus
STEM match for unaligned North :: North :: PROXY_AFP_ENG_20030714_0701.5 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_AFP_ENG_20030714_0701.5 cjconsensus
STEM match for unaligned part :: partake-01 :: PROXY_AFP_ENG_20030714_0701.5 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_AFP_ENG_20030714_0701.6 cjconsensus
STEM match for unaligned Korean :: Korean-American :: PROXY_AFP_ENG_20030714_0701.6 cjconsensus
STEM match for unaligned part :: partake-01 :: PROXY_AFP_ENG_20030714_0701.9 cjconsensus
STEM match for unaligned procede :: proceed-01 :: PROXY_AFP_ENG_20030714_0701.15 cjconsensus
STEM match for unaligned Philippines :: Phillippines :: PROXY_AFP_ENG_20030714_0701.18 cjconsensus
