STEM match for unaligned abstention :: abstain-01 :: PROXY_AFP_ENG_20080304_0398.22 cjconsensus
STEM match for unaligned Iranian :: Iran :: PROXY_AFP_ENG_20080304_0398.24 cjconsensus
STEM match for unaligned Agency :: Agency :: PROXY_AFP_ENG_20080304_0398.24 cjconsensus
STEM match for unaligned Agency :: Agency :: PROXY_AFP_ENG_20080304_0398.24 cjconsensus
STEM match for unaligned approximate :: approximately :: PROXY_AFP_ENG_20080403_0599.9 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
STEM match for unaligned and :: and :: PROXY_AFP_ENG_20080403_0599.13 cjconsensus
