STEM match for unaligned stating :: States :: PROXY_APW_ENG_20080112_0264.5 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.6 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.6 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_APW_ENG_20080112_0264.6 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_APW_ENG_20080112_0264.8 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.10 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.10 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_APW_ENG_20080112_0264.10 cjconsensus
STEM match for unaligned day :: day :: PROXY_APW_ENG_20080112_0264.11 cjconsensus
STEM match for unaligned catastrophic :: catastrophe :: PROXY_APW_ENG_20080112_0264.15 cjconsensus
STEM match for unaligned and :: and :: PROXY_APW_ENG_20080112_0264.18 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.22 cjconsensus
STEM match for unaligned South :: South :: PROXY_APW_ENG_20080112_0264.22 cjconsensus
STEM match for unaligned Korean :: Korea :: PROXY_APW_ENG_20080112_0264.22 cjconsensus
STEM match for unaligned Brazilian :: Brazil :: PROXY_APW_ENG_20080128_1199.4 cjconsensus
STEM match for unaligned Brazilian :: Brazil :: PROXY_APW_ENG_20080128_1199.6 cjconsensus
STEM match for unaligned humidity :: humid-02 :: PROXY_APW_ENG_20080128_1199.14 cjconsensus
