STEM match for unaligned variety :: various :: bio.ras_0001.4 consensus
STEM match for unaligned RasGAPs :: RasGEF :: bio.ras_0001.8 consensus
STEM match for unaligned RasGAPs :: RasGAP :: bio.ras_0001.8 consensus
STEM match for unaligned and :: and :: bio.ras_0001.9 consensus
STEM match for unaligned and :: and :: bio.ras_0001.9 consensus
STEM match for unaligned acting :: activate-01 :: bio-kappa_0001.3 consensus
STEM match for unaligned dimers :: dimerize-01 :: bio.mskcc_0001.2 consensus
STEM match for unaligned active :: activate-01 :: bio.mskcc_0001.3 consensus
STEM match for unaligned active :: activate-01 :: bio.mskcc_0001.3 consensus
STEM match for unaligned protein :: protein :: bio.mskcc_0001.7 consensus
STEM match for unaligned protein :: protein :: bio.mskcc_0001.7 consensus
STEM match for unaligned protein :: protein-segment :: bio.mskcc_0001.7 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.7 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.9 consensus
STEM match for unaligned activities :: activate-01 :: bio.mskcc_0001.10 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.14 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.18 consensus
STEM match for unaligned heterodimers :: heterodimerize-01 :: bio.mskcc_0001.22 consensus
STEM match for unaligned heterodimers :: heterodimerize-01 :: bio.mskcc_0001.22 consensus
STEM match for unaligned S365 :: S365A :: bio.mskcc_0001.25 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.26 consensus
STEM match for unaligned and :: and :: bio.mskcc_0001.26 consensus
STEM match for unaligned S729 :: S729A :: bio.mskcc_0001.26 consensus
STEM match for unaligned dimer :: dimerize-01 :: bio.mskcc_0001.57 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.3 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.3 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.6 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned and :: and :: bio.bmtr_0001.8 consensus
STEM match for unaligned Interestingly :: interest-01 :: bio.bmtr_0001.12 consensus
STEM match for unaligned Interestingly :: interest-01 :: bio.bmtr_0001.12 consensus
STEM match for unaligned and :: and :: bio.bmtr_0002.4 consensus
STEM match for unaligned and :: and :: bio.bmtr_0002.4 consensus
STEM match for unaligned and :: and :: bio.bmtr_0002.4 consensus
STEM match for unaligned localization :: location :: bio.bmtr_0002.6 consensus
STEM match for unaligned localization :: location :: bio.bmtr_0002.6 consensus
STEM match for unaligned localization :: location :: bio.bmtr_0002.6 consensus
STEM match for unaligned phosho :: phosphorylate-01 :: bio.bmtr_0002.10 consensus
STEM match for unaligned phosho :: phosphorylate-01 :: bio.bmtr_0002.10 consensus
