STEM match for unaligned Phew :: phew :: lpp_1943.661 jgetman
STEM match for unaligned most :: most :: lpp_1943.675 jgetman
STEM match for unaligned frightful :: fright :: lpp_1943.675 jgetman
STEM match for unaligned peace :: peace :: lpp_1943.682 jgetman
STEM match for unaligned peace :: peace :: lpp_1943.682 jgetman
STEM match for unaligned Ah :: ah :: lpp_1943.692 jgetman
STEM match for unaligned stars :: star :: lpp_1943.695 jgetman
STEM match for unaligned Yes :: yes :: lpp_1943.701 jgetman
STEM match for unaligned Nothing :: nothing :: lpp_1943.702 jgetman
STEM match for unaligned Nothing :: nothing :: lpp_1943.702 jgetman
STEM match for unaligned Yes :: yes :: lpp_1943.705 jgetman
STEM match for unaligned nobody :: nobody :: lpp_1943.718 jgetman
STEM match for unaligned nobody :: nobody :: lpp_1943.718 jgetman
STEM match for unaligned Certainly :: certain :: lpp_1943.721 jgetman
STEM match for unaligned patent :: patent-01 :: lpp_1943.724 jgetman
STEM match for unaligned patent :: patent-01 :: lpp_1943.724 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 jgetman
STEM match for unaligned No :: no :: lpp_1943.736 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.747 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.747 jgetman
STEM match for unaligned every :: everyday :: lpp_1943.747 jgetman
STEM match for unaligned week :: week :: lpp_1943.748 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.749 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.749 jgetman
STEM match for unaligned say :: say-01 :: lpp_1943.751 jgetman
STEM match for unaligned answer :: answer-01 :: lpp_1943.751 jgetman
STEM match for unaligned answer :: answer-01 :: lpp_1943.751 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.762 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.762 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.763 jgetman
STEM match for unaligned flower :: flower-01 :: lpp_1943.763 jgetman
STEM match for unaligned day :: day :: lpp_1943.786 jgetman
STEM match for unaligned night :: night :: lpp_1943.786 jgetman
STEM match for unaligned night :: night :: lpp_1943.786 jgetman
STEM match for unaligned every :: every :: lpp_1943.792 jgetman
STEM match for unaligned every :: every :: lpp_1943.792 jgetman
STEM match for unaligned minute :: minute :: lpp_1943.792 jgetman
STEM match for unaligned minute :: minute :: lpp_1943.792 jgetman
STEM match for unaligned second :: second :: lpp_1943.792 jgetman
STEM match for unaligned second :: second :: lpp_1943.792 jgetman
STEM match for unaligned repose :: repose-01 :: lpp_1943.792 jgetman
STEM match for unaligned repose :: repose-01 :: lpp_1943.792 jgetman
STEM match for unaligned every :: every :: lpp_1943.793 jgetman
STEM match for unaligned every :: every :: lpp_1943.793 jgetman
STEM match for unaligned minute :: minute :: lpp_1943.793 jgetman
STEM match for unaligned minute :: minute :: lpp_1943.793 jgetman
STEM match for unaligned day :: day :: lpp_1943.795 jgetman
STEM match for unaligned month :: month :: lpp_1943.797 jgetman
STEM match for unaligned month :: month :: lpp_1943.797 jgetman
STEM match for unaligned month :: month :: lpp_1943.798 jgetman
STEM match for unaligned month :: month :: lpp_1943.798 jgetman
STEM match for unaligned month :: month :: lpp_1943.799 jgetman
STEM match for unaligned month :: month :: lpp_1943.799 jgetman
STEM match for unaligned minutes :: minute :: lpp_1943.800 jgetman
STEM match for unaligned day :: day :: lpp_1943.811 jgetman
STEM match for unaligned king :: king :: lpp_1943.818 jgetman
STEM match for unaligned businessman :: businessman :: lpp_1943.818 jgetman
STEM match for unaligned businessman :: businessman :: lpp_1943.818 jgetman
STEM match for unaligned day :: day :: lpp_1943.824 jgetman
