STEM match for unaligned discovery :: discover-01 :: lpp_1943.869 laura
STEM match for unaligned No :: no :: lpp_1943.871 laura
STEM match for unaligned Oh :: oh :: lpp_1943.883 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.889 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.889 laura
STEM match for unaligned flowers :: flower-01 :: lpp_1943.890 laura
STEM match for unaligned disappearance :: disappear-01 :: lpp_1943.906 laura
STEM match for unaligned disappearance :: disappear-01 :: lpp_1943.907 laura
STEM match for unaligned grown :: grow-04 :: lpp_1943.920 laura
STEM match for unaligned too :: too :: lpp_1943.926 laura
STEM match for unaligned year :: year :: lpp_1943.930 laura
STEM match for unaligned miles :: mile :: lpp_1943.936 laura
STEM match for unaligned miles :: mile :: lpp_1943.936 laura
STEM match for unaligned miles :: mile :: lpp_1943.936 laura
STEM match for unaligned miles :: mile :: lpp_1943.936 laura
STEM match for unaligned grown :: grow-04 :: lpp_1943.938 laura
STEM match for unaligned Good :: good :: lpp_1943.949 laura
STEM match for unaligned evening :: evening :: lpp_1943.949 laura
STEM match for unaligned evening :: evening :: lpp_1943.949 laura
STEM match for unaligned stars :: star :: lpp_1943.958 laura
STEM match for unaligned heaven :: heaven :: lpp_1943.958 laura
STEM match for unaligned heaven :: heaven :: lpp_1943.958 laura
STEM match for unaligned some :: someday :: lpp_1943.984 laura
STEM match for unaligned I :: i :: lpp_1943.985 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.992 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.992 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.993 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.995 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.995 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.997 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.997 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.1005 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.1005 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.1023 laura
STEM match for unaligned flower :: flower-01 :: lpp_1943.1023 laura
STEM match for unaligned always :: always :: lpp_1943.1023 laura
STEM match for unaligned always :: always :: lpp_1943.1023 laura
STEM match for unaligned first :: first :: lpp_1943.1023 laura
STEM match for unaligned first :: first :: lpp_1943.1023 laura
STEM match for unaligned speak :: speak-01 :: lpp_1943.1023 laura
STEM match for unaligned speak :: speak-01 :: lpp_1943.1023 laura
