STEM match for unaligned Phew :: phew :: lpp_1943.661 ldci
STEM match for unaligned most :: most :: lpp_1943.675 ldci
STEM match for unaligned frightful :: fright :: lpp_1943.675 ldci
STEM match for unaligned peace :: peace :: lpp_1943.682 ldci
STEM match for unaligned peace :: peace :: lpp_1943.682 ldci
STEM match for unaligned Ah :: ah :: lpp_1943.692 ldci
STEM match for unaligned stars :: star :: lpp_1943.695 ldci
STEM match for unaligned Yes :: yes :: lpp_1943.701 ldci
STEM match for unaligned Nothing :: nothing :: lpp_1943.702 ldci
STEM match for unaligned Nothing :: nothing :: lpp_1943.702 ldci
STEM match for unaligned Yes :: yes :: lpp_1943.705 ldci
STEM match for unaligned nobody :: nobody :: lpp_1943.718 ldci
STEM match for unaligned nobody :: nobody :: lpp_1943.718 ldci
STEM match for unaligned Certainly :: certain :: lpp_1943.721 ldci
STEM match for unaligned patent :: patent-01 :: lpp_1943.724 ldci
STEM match for unaligned patent :: patent-01 :: lpp_1943.724 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.734 ldci
STEM match for unaligned No :: no :: lpp_1943.736 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.747 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.747 ldci
STEM match for unaligned every :: everyday :: lpp_1943.747 ldci
STEM match for unaligned week :: week :: lpp_1943.748 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.749 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.749 ldci
STEM match for unaligned say :: say-01 :: lpp_1943.751 ldci
STEM match for unaligned answer :: answer-01 :: lpp_1943.751 ldci
STEM match for unaligned answer :: answer-01 :: lpp_1943.751 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.762 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.762 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.763 ldci
STEM match for unaligned flower :: flower-01 :: lpp_1943.763 ldci
STEM match for unaligned day :: day :: lpp_1943.786 ldci
STEM match for unaligned night :: night :: lpp_1943.786 ldci
STEM match for unaligned night :: night :: lpp_1943.786 ldci
STEM match for unaligned every :: every :: lpp_1943.792 ldci
STEM match for unaligned every :: every :: lpp_1943.792 ldci
STEM match for unaligned minute :: minute :: lpp_1943.792 ldci
STEM match for unaligned minute :: minute :: lpp_1943.792 ldci
STEM match for unaligned second :: second :: lpp_1943.792 ldci
STEM match for unaligned second :: second :: lpp_1943.792 ldci
STEM match for unaligned repose :: repose-01 :: lpp_1943.792 ldci
STEM match for unaligned repose :: repose-01 :: lpp_1943.792 ldci
STEM match for unaligned every :: every :: lpp_1943.793 ldci
STEM match for unaligned every :: every :: lpp_1943.793 ldci
STEM match for unaligned minute :: minute :: lpp_1943.793 ldci
STEM match for unaligned minute :: minute :: lpp_1943.793 ldci
STEM match for unaligned day :: day :: lpp_1943.795 ldci
STEM match for unaligned month :: month :: lpp_1943.797 ldci
STEM match for unaligned month :: month :: lpp_1943.797 ldci
STEM match for unaligned month :: month :: lpp_1943.798 ldci
STEM match for unaligned month :: month :: lpp_1943.798 ldci
STEM match for unaligned month :: month :: lpp_1943.799 ldci
STEM match for unaligned month :: month :: lpp_1943.799 ldci
STEM match for unaligned minutes :: minute :: lpp_1943.800 ldci
STEM match for unaligned day :: day :: lpp_1943.811 ldci
STEM match for unaligned king :: king :: lpp_1943.818 ldci
STEM match for unaligned businessman :: businessman :: lpp_1943.818 ldci
STEM match for unaligned businessman :: businessman :: lpp_1943.818 ldci
STEM match for unaligned day :: day :: lpp_1943.824 ldci
